AAVE,SAE
pe- black people kill black people all the time.,black people kill black people all of the time.
that's a- that's already a,that's already a
"that's the same thing with white people. granted, we- white people don't kill each other all the time.","that's the same thing with white people. granted, white people don't kill each other all the time."
most people that ha-,most people that
are usually hating each other because of like,are usually hating each other because
and that's the part that kill you sometimes.,and that's the part that upsets you sometimes.
yeah.,yes
yeah.,yes
yeah.,yes
yeah.,yes
"yeah, boy.","yes, boy"
[yeah.],yes
"yeah, his name's /rd-name-2/.","yes, his name's /rd-name-2/."
"[they graduated.] they- matter a fact, they got married like","[they graduated.] as a matter of fact, they got married"
"oh, yeah. yeah. they did get married when we got out of high school.","oh, yes. yes. they did get married when we got out of high school."
"so, it was like september","so, it was september"
cause they got married right before,because they got married right before
"oh, and they got a little one.","oh, and they have a little one."
yeah.,yes
"they in texas, but they about to go to colorado.","they're in texas, but they are about to go to colorado."
still in the /meelitar-/ in the military [right?],still in the military [right?]
[yeah.],yes
[for wha-],for what
[yeah.],yes
"uh. right now, man, i'm just living my life.","right now, man, i'm just living my life."
[mkay.],ok
taking every day one at a time. whatever hap- whatever,taking every day one at a time. whatever
"i- i, you know, take upon to do it.","i- i, you know, take upon myself to to do it."
"but, if it doesn't, i'm not gonna do it.","but, if it doesn't, i'm not going to do it."
was she always used to- you were big in- she was big into birthday parties right?,"was she always used to, she was big into birthday parties right?"
now that's gonna be hard.,now that's going to be hard.
"cause like,",because
cause,because
i did ha- i remember one bir- one birthday party.,i did have- i remember one birthday party.
we had at bowling alley.,we had at the bowling alley.
"i think it was seventh gra- nah, i think it was my seventh or eighth grade.","i think it was seventh grade, no, i think it was my seventh or eighth grade."
i don't remember what- i think i was turning,"i don't remember, i think i was turning"
"it was just real lit cause everybody was at the bowling alley,","it was just really exciting because everybody was at the bowling alley,"
"man, that's gonna be really hard.","man, that's going to be really hard."
my nin-,my ninth
"yeah, i remember it","yes, i remember it"
"heavy because like,","a lot because,"
"i remember, because i remember, w- that was when my mama kind of","i remember, because i remember, that was when my mama kind of"
"she came ba- she was back in the town, like she didn't","she came back, she was back in the town, she didn't"
like she wa-,like she
"she um,",she
we moved out of my mom- i moved out of my grandma's house.,"we moved out of my mom, i moved out of my grandma's house."
"parties i remember having, like,","parties i remember having, "
yeah.,yes
some salad.,salad
"and then, um, twenty first bir- and then after that,","and then, twenty first birthday- and then after that,"
"and then i bought some stuff, put some stuff together,","and then i bought some things, put some things together,"
and it was- it was fun cause that was my first time going to the liquor store.,and it was- it was fun because that was my first time going to the liquor store.
"[like <laugh>actually] going in there, was like, okay, hey, i wanna go get","[like <laugh>actually] going in there, was, okay, hey, i want to go get"
and it's crazy cause i don't,and it's crazy because i don't
"i don't get id'd usually,","i don't get asked for id usually,"
"<laugh> i was like, aye. your id.","<laugh> i was like, hey. your id."
"[here's it's at. like, yes, let me show you actually.]","[here it is. like, yes, let me show you actually.]"
to the day.,to the day.
"i do like uh, um, i do like rita's","i do like, i do like rita's"
"with some, with some little rita.","with some, with a little rita."
"[like] i'm down, i just","[like] i agree, i just"
i d-,i
"i'm kind of like in- i'm kind of like a hermit, antisocial, kind of.","i'm kind of like a hermit, antisocial, kind of."
yeah.,yes
"d- and those select group of people, i would know 'em for a minute.","and those select group of people, i would know them for a short time."
"uh, i decided that, i don't really","i decided that, i don't really"
i don't fool with people.,i don't hang out with people.
he spoiled for a good point.,he wasspoiled for a long time..
"i mean, that boy spoiled, but.","i mean, that boy was spoiled, but."
"yeah. i mean, it's cool because like,","yes. i mean, it's ok because like,"
"eight, nine. you know, i was like. i been wanted a little brother, little sister","eight, nine. you know, i was like. i've long wanted a little brother, little sister"
"but i wasn't thinking i'd been nineteen, getting a little brother, little sis- i be like, it's kind of like now, you know what i mean, like.","but i wasn't thinking i'd be nineteen, getting a little brother, little sis- i would be like, it's kind of like now, you know what i mean, like."
/rd-name-2/ can't play no video games with me.,/rd-name-2/ can't play any video games with me.
[yeah.] i want somebody that actually like,[yes] i want somebody that actually like
play play with. not have to t-,to play with. not have to t-
"he, um,",he
"i mean, he k- he a good kid for the most part.","i mean, he's a good kid for the most part."
"it honestly not bad, but it-","it's honestly not bad, but it's"
"cause, i mean, he part of the family now.","because, i mean, he is part of the family now."
all his two little- two year old self.,all of his two little- two year old self.
yeah.,yes
that's what i really been waiting on. cause i can't.,that's what i've really been waiting on. because i can't.
"i mean, honestly when he about-","i mean, honestly when he was about-"
"tryna get into some football, some sports.","trying to get into some football, some sports."
"but, um.",but
"the especially, like, i'm'a- shoot. i want him on my team, camping, and take him fishing.","the especially, like, . i want him on my team, camping, and take him fishing."
stuff like that.,things like that
yeah.,yes
"yeah, i hate outdoors.","yes, i hate outdoors."
cause it's more or less what i get into.,because it's more or less what i get into.
"cause, i like-","because, i like"
different places where i'm at.,different places where i am.
"first time seeing uh,","first time seeing,"
i looked like a rottweiler with just long hair and this white,it looked like a rottweiler with just long hair and this white
"and he was cool looking. like, i'm like dang, like i ain't ever seen this before.","and he was cool looking. like, i'm like wow, like i've never ever seen this before."
you ain't gonna see it,you're not to see it
normally you just walking around.,normally you're just walking around.
"there ain't really too many places around here, but um, tifton for the most part.","there wasnt really too many places around here, but, tifton for the most part."
and they had still had all the nature stuff.,and they had still had all of the nature stuff.
"yeah, i've done that.","yes, i've done that"
that gotta happen. like i want a pond in either the back yard or the front yard. one of 'em.,that's got to happen. like i want a pond in either the back yard or the front yard. one of them.
mm-mm. kind of country like.,kind of country like.
"and, it had a- um,","and, it had a,"
"yeah, like i guess- it's hard to explain it really, i'm better- i'm better with showing you some stuff like that.","yes, like i guess- it's hard to explain it really, i'm better- i'm better with showing you some stuff like that."
[yeah. that was],"yes, that was"
not really what i wanna do.,not really what i want to do.
kicking back,relaxing
what i wanna do.,what i want to do
that's- that's my whole conundrum. i've spent so much time thinking about what i wanna do,that's- that's my whole conundrum. i've spent so much time thinking about what i want to do
yeah.,yes
"different things i wanted to do, but then in the end, i realized like, something just deterred me from doing it.","different things i wanted to do, but then in the end, i realized like, something just deterred me from doing it."
i don't really know if i wanna do that anymore.,i don't really know if i want to do that anymore.
yeah.,yes
"well, college, i gotta go with georgia bulldogs.","well, college, i have to go with georgia bulldogs."
"um, a- actually, matter of fact, i've been to a fsu game.","a- actually, as a matter of fact, i've been to a fsu game."
that my first time ever doing that.,that's my first time ever doing that.
"it was uh, that was a fun experience, cause i've never been in- to a actual stadium like that.","it was, that was a fun experience, because i've never been in- to an actual stadium like that."
"and going, and seeing 'em, and then like, we went to like we went to this field trip with football. the football players in middle school.","and going, and seeing them, and then like, we went to like we went on this field trip with football. the football players in middle school."
and we get to meet some of the players that was there at the time.,and we get to meet some of the players that were there at the time.
"and like, one of them, he in the nfl now, and i remember his- he like, i seen him multiple- a lot actually.","and like, one of them, he's in the nfl now, and i remember his- he like, i saw him multiple- a lot actually."
"um, telvin smith.",telvin smith.
he in- the- he,he's in- the- he
"played for the jaguars, so that's pretty lit.","played for the jaguars, so that's pretty exciting."
[yeah.],yes
"[cause think] about it, the patriots go almost every year,","[because think] about it, the patriots go almost every year,"
"yeah, i","yes, i"
i get you.,i understand you
"with everything that happened with colin kaepernick and now all the players, it's just so crazy-","with everything that happened with colin kaepernick and now all of the players, it's just so crazy-"
"or, i don't believe with the whole colin kaepernick thing, you gotta remember, he is his own person, for one.","or, i don't believe with the whole colin kaepernick thing, you've got to remember, he is his own person, for one."
"and like, he do his own thing.","and like, he does his own thing."
"but, people always misconstrued stuff on the daily, so it don't even matter.","but, people always misconstrued stuff on the daily, so it doesn't even matter."
[yeah.],yes
um. oka- i like wrestling.,okay- i like wrestling.
um. i did track before.,i did track before.
"um, i like rugby.",i like rugby
yeah.,yes
[how'd] you get into rugby?,[how did you get into rugby?
"um, rugby, i never really played it, myself.","rugby, i never really played it, myself."
"okay. i remember, we was in- we'd just be in gym.","okay. i remember, we were in- we'd just be in gym."
"and like, we just learn how- we doing- we figured how to do- how to go rugby, this this and that. and we was outside playing it.","and like, we just learn how- we're doing- we figured how to do- how to do rugby, this and that. and we were outside playing it."
"<laugh> it's almost like, cause you got soccer, football, and wrestling all in the same sport.","<laugh> it's almost like, because you have soccer, football, and wrestling all in the same sport."
yeah.,yes
"yeah, cause rugby's very much","yes, because rugby's very much"
yeah.,yes
"u- well, like i mean if i'm gon-","well, like i mean if i'm"
"like, if i have- if i'm gonna be sitting watching sports, most likely it's gonna be football first.","like, if i have- if i'm going to be sitting watching sports, most likely it's going to be football first."
mm. not,not
[/inaudible/] i'm not actually gonna go with that [option.],[/inaudible/] i'm not actually going to go with that [option.]
[huh] yeah.,yes
"mm, let me back up.",let me back up.
"something's gonna happen to me, i'm about to die.","something's going to happen to me, i'm about to die."
[yeah.],yes
yeah.,yes
"uh, i had a lot of situations like that.",i had a lot of situations like that.
"okay, tell me a couple of 'em.","okay, tell me a couple of them."
"um, i remember one time,","i remember one time,"
"um, me and /rd-name-2/,","me and /rd-name-2/,"
"e- yeah, yeah. he was. okay.","yes, yes. he was. okay."
and we- (laughing) we just go where we wanted to go after that point.,and we- (laughing) we just went where we wanted to go after that point.
"and, we had left the haunted house, one day.","and, we left the haunted house, one day."
"we had went to one of my- i have a friend,","we had gone to one of my- i have a friend,"
"it was- uh,",it was
"that was scary. and it was already scary cause i was already sick. i had like a migraine, and the next thing you know, i like threw up everywhere.","that was scary. and it was already scary because i was already sick. i had like a migraine, and the next thing you know, i threw up everywhere."
"and, we end up getting into the back of the truck,","and, we ended up getting into the back of the truck,"
there a lot of stuff.,there was a lot of stuff.
"yeah, i can't even say i put my- i did basically put myself in.","yes, i can't even say i put my- i did basically put myself in."
"my friend, like /rd-name-2/ and all them, they-","my friend, like /rd-name-2/ and all of them, they-"
they g- the people they got in a fight with cause they beat- they end up beating them up.,they g- the people they got into a fight with because they beat- they end up beating them up.
"and then the people they got in a fight with was like, oh, we gonna get more people","and then the people they got into a fight with were like, oh, we're going to get more people"
"do this, this and that, and we gonna come to y'all place, this and all that.","do this, this and that, and were' going to come to y'all's place, this and all that."
"they /was/ talking about, they were gonna meet them at freedom park.","they /were talking about, they were going to meet them at freedom park."
because they know where everything at,because they know where everything is
we don't need to go over there to nobody else place. that's trespassing already.,we don't need to go over there to anybody else's place. that's trespassing already.
"i mean, i went with 'em anyways.","i mean, i went with them anyways."
we got like four or five cars,we have like four or five cars
then e- the numbers died down til about twelve.,then e- the numbers decreased until about twelve.
"but like, everybody got a weapon.","but like, everybody has a weapon."
everybody got like,everybody has like
"then like, i remember it exactly, cause i remember this one guy, his name was /rd-name-2/.","then like, i remember it exactly, because i remember this one guy, his name was /rd-name-2/."
"he ran cross the field like fa- like really fast, and he like literally","he ran across the field fa- really fast, and he like literally"
"and, i'm like, woah.","and, i'm like, stop."
woah. okay.,stop. okay.
"when he- like, cause it was so much going on around us.","when he- like, because it was so much going on around us."
yeah.,yes
[yeah.],yes
yeah.,yes
yeah.,yes
[yeah.],yes
"they- okay, my friends got invited to their party.","they- okay, my friends were invited to their party."
he started talking like all types of mad s-,he started talking like all types of crazy s-
trash.,negative things.
"he um,",he
he had hit my friend,he hit my friend
"now, those four people gonna turn in to eight or nine people.","now, those four people  are going to turn into eight or nine people."
yeah.,yes
"it's i guess this is different from me cause like,","it's i guess this is different from me because like,"
"and i look at it now cause i work at /rd-work-2/,","and i look at it now because i work at /rd-work-2/,"
"or i remember when um,","or i remember when,"
"that was a change, um when we didn't have the second overpass, that's-","that was a change, when we didn't have the second overpass, that's-"
"we getting a lot more people, like more population coming in.","we are getting a lot more people, like more population coming in."
"[uh, like, college.]","like, college.]"
[cause like.],because 
"i talk to- to a lot of customers and stuff, and they see me all the time, and i always ask them, hey, where are y'all from?","i talk to- to a lot of customers and stuff, and they see me all of the time, and i always ask them, hey, where are y'all from?"
"and a lot of them be like oh, i'm not from here, i'm from here.","and a lot of them are like oh, i'm not from here, i'm from here."
"[yeah there's] i mean, there's physical changes. [like,]","[yes there's] i mean, there's physical changes. [like,]"
"yeah, there's","yes, there's"
"also, you also have to remember that valdosta's a small place, like everybody slick know each other.","also, you also have to remember that valdosta's a small place, like everybody that's hip know each other."
"it's weird, cause i'm st- even today, like i have friends","it's weird, because i'm st- even today, like i have friends"
"yeah, i just saw him like a couple of days ago.","yes, i just saw him like a couple of days ago."
"[eh. yeah, like, it- and na- i have this- i kind of came up with this whole theory that one in every five friends that you may have probably know me or","[yeah, i have this- i kind of came up with this whole theory that one in every five friends that you may have probably know me or"
your lo-,your
"i just, um,",i just
cause before you used to keep it,because before you used to keep it
low-ish.,somewhat low
one reason is because like it express freedom.,one reason is because it expresses freedom.
"i grow my hair because one, i was like, you know growing up black, you d- we always keep your hair cut.","i grow my hair because one, i was like, you know growing up black, you would- we always keep our hair cut."
"you know what i mean, i just wanted to try s- like shoot, what if i grew my hair out?","you know what i mean, i just wanted to try s- like ok, what if i grew my hair out?"
"oh, i thought you said monday. i was like, oh okay. that- that's soon.","oh, i thought you said monday. i was like, oh okay. that's soon."
"alright, so, yeah, before i start asking questions, [um,] <laugh>","alright, so, yes, before i start asking questions,  <laugh>"
"okay cool, so like i said it's-","okay good, so as i said it's-"
it seems more formal than it actually is. i just wanna know about,it seems more formal than it actually is. i just want to know about
"what you wanna do next, just those sorts of questions. so they're open ended. you can take 'em in different,","what you want to do next, just those sorts of questions. so they're open ended. you can take them in different,"
"there are no like, right or wrong answers, [it's just], you know, your perspective","there are no right or wrong answers, [it's just], you know, your perspective"
[yeah.],yes
"um, so",so
"i usually begin, um, asking","i usually begin, asking"
"was over by the- um,","was over by the,"
"the transit station, where all the buses usually go for like the night.","the transit station, where all of the buses usually go for like the night."
"[uh,] grew up in like, the projects over there","i grew up in like, the projects over there"
"we were in like, subsidized housing.",we were in subsidized housing.
"so and so that i used to slap up at the corner store,","so and so that i used to see up at the corner store,"
"they were always respectable. cause like, you know, this- this is their neighborhood. their family lives next door, like.","they were always respectable. because like, you know, this- this is their neighborhood. their family lives next door, like."
"so, um,",so
"it was childhood. like, you go outside, you play with all the other kids in the projects.","it was childhood. like, you go outside, you play with all of the other kids in the projects."
come back the next day and it's all good.,come back the next day and everything is ok..
shedded a light,shed a light
"in seeing seeing um,",in seeing seeing
"to me, she wasn't that much older. like, my mom had me when she was twenty-nine. i feel like that's around like,","to me, she wasn't that much older. like, my mom birthed me when she was twenty-nine. i feel like that's around,"
"but um,",but
"um, some having",some having
"and, um,",and
"so, um,",so
"um, within my family,","within my family,"
"basically i'm a only child because it's a fourteen year gap between my brother,","basically i'm an only child because it's a fourteen year gap between my brother,"
"um, also my mom had my brother when she was fifteen.",also my mom gave birth to my brother when she was fifteen.
"but when my mom had me, she was like, no,","but when my mom gave birth to  me, she was like, no,"
i'm gonna raise him.,i'm going to raise him.
"uh, so",so
"i wanna be friends with everybody,","i want to be friends with everybody,"
i had to learn to fend for myself. i had to-,i had to learn to take care of myself. i had to-
"oh, you can't watch tv even though you finished your homework, cause j.r. didn't finish his homework, and he's gonna be distra- like,","oh, you can't watch tv even though you finished your homework, because j.r. didn't finish his homework, and he's going to be distra- like,"
"you know, nobody else had to come out of pocket to take care of me, understanding that,","you know, nobody else had to spend money to take care of me, understanding that,"
i would go weeks and weeks at a time without having my hair done.,i would go weeks and weeks at a time without having my hair done at at salon.
be fine.,are fine.
"i remember it was just one night, where like, i was crying myself to sleep and i was just like, i don't wanna feel this anymore.","i remember it was just one night, where like, i was crying myself to sleep and i was just like, i don't want to feel this anymore."
"the night, that like, i realize like,","the night, that like, i realized like,"
"was living with my grandma for a bit, so that was off of /rd-address-2/,","was living with my grandma for awhile, so that was off of /rd-address-2/,"
"it was a bit different, because","it was a little different, because"
"and then she also was trying to like, make up for lost time.","and then she also was trying to, make up for lost time."
"and i think that probably one of the realest conversations we ever had. /it was mostly/ like, ma like,","and i think that probably one of the most authentic conversations we've ever had. /it was mostly/ like, ma like,"
"you just gotta stop. like,","you just have to stop. like,"
"not ever gonna fault you,","not ever going to fault you,"
"cause we got,",because we have
"so, um,",so
"it's like the quirky area of rochester. like,",it's like the quirky area of rochester.
"the living was nice and then, uh,","the living was nice and then, "
"really what ended up happening was the stuff that happened over the two and a half years, came to a bubble between my aunt and my mom.","really what ended up happening was the stuff that happened over the two and a half years, came to a boiling point between my aunt and my mom."
"they got into it, my mom's like, alright we moving.","they had a disagreement, my mom's like, alright we're moving."
"um, even- even like now, [i'm just like,]"," even- even like now, [i'm just like,]"
"yeah, let's go to /rd-address-2/. (whispered)","yes, let's go to /rd-address-2/. (whispered)"
"now they got a lot of, uh, restaurants and a lot of different stuff over there.","now they have a lot of, restaurants and a lot of different stuff over there."
"but yeah, we lived on /rd-address-2/ in the /rd-address-2/ and then we moved on /rd-address-1/ in the /rd-address-2/. and in this time i was going through middle school.","but yes, we lived on /rd-address-2/ in the /rd-address-2/ and then we moved on /rd-address-1/ in the /rd-address-2/. and in this time i was going through middle school."
the income that we had in the house got cut tremendously.,the income that we had in the house was cut tremendously.
"hood central basically. (laughing) um,",low income central basically. (laughing)
don't nobody bother her. it's-,nobody bothers her. it's-
"yeah, people say a lot about","yes, people say a lot about"
"yeah you got the same people that's doing the same thing, but then you got people who are","yes you have the same people that's doing the same thing, but then you have people who are"
"um, i done seen like people done graduated and seen people",i have seen people that have graduated and seen people
"so, um,",so
yeah i would say,"yes,  i would say"
"cause like you look at it, and it's just like, <sigh>","because you look at it, and it's just like, <sigh>"
"it's like, run-down houses. i actually wro- ended up writing a poem, literally like, based on my street.","there are, run-down houses. i actually wro- ended up writing a poem, literally like, based on my street."
"it's like run-down houses everywhere, and then it's like you get to know the people.","there are run-down houses everywhere, and then it's like you get to know the people."
"/you know/, all these people","/you know/, all of these people"
pretty much just like me. they trying to make it.,pretty much just like me. they are trying to make it.
"and, um,",and
"yeah. right now,","yes, right now"
"since i've moved out, i lived out in canandaigua.","since i've moved out, i've lived out in canandaigua."
i lived out there for like six months.,i lived out there for about six months.
"you could spot somebody from the east side, if they're on the west side, and if you're on the west side, you can spot somebody on the east side. it's a weird type of thing.","you could recognize somebody from the east side, if they're on the west side, and if you're on the west side, you can identify somebody on the east side. it's a weird type of thing."
"<laugh> [how do you <laugh> [how do you spot] 'em, what do you-] them, what do you-","<laugh> [how do you <laugh> [how do you recognize them, what do you-] them, what do you-"
i don't know. i thi- [it's- it's-] it's kind of like-,i don't know. it's kind of like-
[yeah.],yes
"you know, like, the west side, you know, that's where you got all the flashy stuff and the nice houses.","you know, like, the west side, you know, that's where you have all of the flashy stuff and the nice houses."
"you're liable to see a dude like, decked out in jewelry or whatever, just standing on the corner. he looks nice, he looks","you're likely to see a guy, wearing lots of jewelry or whatever, just standing on the corner. he looks nice, he looks"
dude been trapping in the same outfit for seven days.,a guy been wearing the same outfit for seven days.
don't mean he don't got no money.,doesn't mean he doesn't have any  money.
"and then it kind of just like, kind of went away. i started realizing that's really just a mentality.","and then it kind of just, kind of went away. i started realizing that's really just a mentality."
i done been everywhere.,i have been everywhere
"what am i scared of? it's not that i'm of scared of anything. it's like, uh, it was just a little uneasy.","what am i scared of? it's not that i'm scared of anything. it's like, uh, it was just a little uneasy."
"um, from there, i ended up moving into brighton,","from there, i ended up moving into brighton,"
"and, um,",and
"in the end, it ended up getting really bad, but, uh, went in and basically was like look, y'all don't want us here.","in the end, it ended up getting really bad, but, uh, we went in and basically were like look, you all don't want us here."
"we don't wanna be here, honestly. so, uh, we agreed to like, terminate the lease.","we don't want to be here, honestly. so, we agreed to terminate the lease."
"and, uh, we moved","and, we moved"
over there it was right behind /rd-address-5/.,over there it was directly behind /rd-address-5/.
"s- i'm like,",i'm like
/i could walk-/ i wake up and jog around the block. that's [cool.] (laughing),/i could walk-/ i wake up and jog around the block. that's good] (laughing)
"hey how you doing? hey, how you doing? i don't know you. probably won't ever see you again.","hey how are you doing? hey, how are you doing? i don't know you. probably won't ever see you again."
"i could say like, living in all these different places in rochester, you kind of really-","i could say like, living in all of these different places in rochester, you kind of really-"
"or it's- seems like it's being portrayed to be divided,","or it's- seems like it's being portrayed as being divided,"
"being, um,",being
oh you know so and so?,do you know this person or that person
yeah i know so and so.,"yes, i know this person or that person"
other people pop up.,other people show up.
"so it's, um,",so it's
mm (i don't know intonation) that's-,(i don't know intonation) that's-
"yeah,",yes
"yeah, so- but you would overall say you're more of a-","yes, so- but you would overall say you're more of a-"
"[definitely more of a city guy.] i don't like the- nah, the- the suburbs, or","[definitely more of a city guy.] i don't like the no, the suburbs, or"
"yeah,",yes
[yeah],yes
cool.,ok
so it started of with pre-k at /rd-school-3/.,so it started with pre-k at /rd-school-3/.
"um, from k through second.",from k through second.
"i started realizing why i was different from other people. cause like,","i started realizing why i was different from other people. because like,"
"i was in fourth grade literally like a week. and they come up to me and are like,","i was in fourth grade literally like a week. and they came up to me and are like,"
"so monday, you're gonna go into this new class, and you're gonna sh- i'm like, i didn't even get to start with this new class yet.","so monday, you're going to go into this new class, and you're going sh- i'm like, i didn't even get to start with this new class yet."
"we're doi- we're giving you the work and you're just basically sitting there cause you're getting it done. i'm like, okay so what's the /rd-school-3/? and they basically broke it down. it's the /rd-school-7/. you'll learn,","we're doi- we're giving you the work and you're just basically sitting there because you're getting it done. i'm like, okay so what's the /rd-school-3/? and they basically explained it. it's the /rd-school-7/. you'll learn,"
"um, at a faster rate. and you'll learn, you know, stuff like a grade ahead of you. i'm like,","at a faster rate. and you'll learn, you know, stuff like a grade ahead of you. i'm like,"
okay cool.,ok good
"i'm a test subject, because they've already been here. they already been with these kids. so i'm the new guy.","i'm a test subject, because they've already been here. they've already been with these kids. so i'm the new guy."
"um, fourth grade is where i first learned how to play chess.",fourth grade is where i first learned how to play chess.
w- was dope.,was awesome
"and then, um,",and then
"in sixth grade i learned, uh, there's this game called magic the gathering.","in sixth grade i learned, there's this game called magic the gathering."
it's like a card game. i ended up learning that.,it's a card game. i ended up learning that.
"and by the time i got, um,","and by the time i got, "
so i started a interview process. got to shadow at the high school.,so i started an interview process. got to shadow at the high school.
"which was cool cause i mean, sixth grade, i'm in high school for a day.","which was good because i mean, sixth grade, i'm in high school for a day."
i'm the man. [<laugh>],i'm important. [<laugh>]
[yeah.],yes
"um, i remember like, my grade- well, like- yeah my grade, or my class","i remember, my grade- well, like- yes my grade, or my class"
we're gonna have them,we're going to have them
okay that didn't work. okay we're gonna have them do- so it was a lot of just constant changing.,okay that didn't work. okay we're going to have them do- so it was a lot of just constant changing.
"um, but the plus side, we did keep the same teachers.","but the plus side, we did keep the same teachers."
because it allowed me to find myself as a individual.,because it allowed me to find myself as an individual.
"like, um,",like
"by my tenth grade, i had maxed out all the art classes at my high school.","by my tenth grade, i had maxed out all of the art classes at my high school."
"human forms, shading, and all this other stuff.","human forms, shading, and all of this other stuff."
"and i was like, oh this is cool. (whispered) and it's stuff that like,","and i was like, oh this is great. (whispered) and it's stuff that like,"
"um, going to /rd-school-4/ you're like, we don't have a football team, but","going to /rd-school-4/ you're like, we don't have a football team, but"
"i wanna say that was a mistake, but seeing as how my life turned out, can't be a mistake.","i want to say that was a mistake, but seeing as how my life turned out, it can't be a mistake."
"uh, no, i remember you being there. you didn't wanna learn anything.","no, i remember you being there. you didn't want to learn anything."
"and then my eighth grade year, they had to get me a, um,","and then my eighth grade year, they had to get me a,"
"and i'm like, okay so first, you know, i'm not really learning nothing because i'm not teaching well.","and i'm like, okay so first, you know, i'm not really learning anything because i'm not teaching well."
"but eventually, um,","but eventually, "
"and, um,",and
"um, eleventh grade year,"," eleventh grade year,"
"and then, uh, math, you had to basically apply","and then, math, you had to basically apply"
"my teacher's like, okay so,","my teachers were like, okay so,"
meteors coming to strike the earth.,meteors are coming to strike the earth.
dude you got corrections. we all got corrections.,dude you have corrections. we all have corrections.
"if you sit here and cry about it, you're gonna stay in eleventh grade.","if you sit here and cry about it, you're going to stay in eleventh grade."
"and like, i don't wanna stay in eleventh grade.","and like, i don't want to stay in eleventh grade."
"or i don't wanna have to redo any of this over. so like,","or i don't want to have to redo any of this over. so like,"
"and then, um,",and then
"and at the end, you'll have- um,","and at the end, you'll have-"
you'll have like a final meeting. so basically you would have to get,you'll have a final meeting. so basically you would have to get
"before i got to my senior year, i sat on probably like five different senior committees, really, so you kno- understand and know what it looks like and how the process goes.","before i got to my senior year, i sat on probably five different senior committees, really, so you kno- understand and know what it looks like and how the process goes."
"um, my senior project was capoeira.",my senior project was capoeira.
"which, uh, that year i ended up quitting football because","which, that year i ended up quitting football because"
"i gotta go to school tomorrow. and then, m- also senior year i had a job. and i'm just like,","i have to go to school tomorrow. and then, m- also senior year i had a job. and i'm just like,"
but luckily like senior year i didn't really have much classes,but luckily senior year i didn't really have many classes
"because i had- um,",because i had
getting whatever i needed out the way,getting whatever i needed out of the way
"okay i got all this free time, or","okay i have all of this free time, or"
i'm'a just slack a little bit.,i'm going to just slack a little bit.
"no, i gotta hold myself accountable, i still got this.","no, i have to hold myself accountable, i still got this."
"and really the real world, cause when i went into college i was going to school, but i was also","and really the real world, because when i went into college i was going to school, but i was also"
"i gotta go home and have my mom wash my clothes because i don't know how. and i'm like,","i have to go home and have my mom wash my clothes because i don't know how. and i'm like,"
"or, oh, i gotta go and ask so-and-so for money because- i'm like,","or, oh, i have to go and ask so-and-so for money because- i'm like,"
"main thing is like, okay (whispered),","the main thing is like, okay (whispered),"
we got diversity,we have diversity
cause i'm like in this class with,because i'm like in the class with
"so we're reading all these like scholarly articles on these different alternative literacies, and","so we're reading all of these scholarly articles on these different alternative literacies, and"
"cause she like, dove into it. she was actually going for her",because she dove into it. she was actually going for her
"she's like, yeah this is-","she's like, yes this is-"
"so, um,",so
yeah it was-,yes it was
"[but again], um,",but again
"like by the time like eleventh grade, i'm like oh, um, i want a class about so and so and so and so. they're like,","like by the time eleventh grade, i'm like  oh, i want a class about so and so and so and so. they're like,"
"create it. i'm like,","create it, i'm like"
"you're gonna be my advisor? yeah i'll be your advisor. okay, so i-","you're going to be my advisor? yes i'll be your advisor. okay, so i-"
"doing the work and basically making my own like, assignments and curriculum. like, do you think this is enough? i remember i had- i had one, um,","doing the work and basically making my own, assignments and curriculum. like, do you think this is enough? i remember i had- i had one,"
really? you sure?,really? are you sure?
"i- i- just- i feel like it's not enough. she's like no no no,","i- just- i feel like it's not enough. she's like no no no,"
it was- it was nice. it was dope.,it was- it was nice. it was awesome.
"i got to- i got to learn, again, a lot about myself and a lot-","i have to- i have to learn, again, a lot about myself and a lot-"
"um, i'm a very introverted type of person.",i'm a very introverted type of person.
up until,until
"i saw the world around me, but it was just like, i don't wanna participate in that. so i'm'a just stay in my bubble.","i saw the world around me, but it was just like, i don't want to participate in that. so i'm going to just stay in my bubble."
i gotta start doing something about this.,i have to start doing something about this.
"and, um,",and
"um, with,",with
so like people are coming out of class and everybody's just like crowding around. and they're like-,so people are coming out of class and everybody's just like crowding around. and they're like-
"luckily i had my advisor, like right there with me.","luckily i had my advisor, right there with me."
"she's like, no,","she's says, no,"
"stop, you gotta wait until after he's done. (laughing)","stop, you have to wait until after he's done. (laughing)"
"nobody here when i started. like, (laughing)","nobody was here when i started. like, (laughing)"
"so, um, i ended up","so, i ended up"
[/yeah./],yes
it was three other students.,there were three other students
"they kind of pretty much got pushed to the side. cause we were just sitting here and then we're like, /??/ i-","they kind of pretty much got pushed to the side. because we were just sitting here and then we're like, /??/ i-"
"i got all these theories. i'm like,","i have all of these theories. i'm like,"
"in, um-",in
"i use like, again, like my environment i was like, um, so if we're talking about like alternative literacies like,","i use like, again, like my environment i was like, so if we're talking about like alternative literacies like,"
"be honest with you man, from the hood. so,","be honest with your man, from the neighborhood. so,"
"i'm like, you take a drug dealer,","i'm like, for example a drug dealer,"
"but yeah, it was just like weird. it's like,","but yes, it was just like weird. it's like,"
this big wig come to town and you want me to talk to him?,this important guy comes to town and you want me to talk to him?
